,user_id,x,y,profile,profile_name,profile_description,price_tolerance,cuisine_rank,offer_set_ids,offer_set_names,chosen_id,chosen_name
0,0,7.733531134834296,8.388810805051211,2,Budget Shopper,Highly price sensitive; dislikes expensive restaurants.,3,"{np.str_('Sandwiches/Salads'): 1, np.str_('Chinese'): 2, np.str_('Persian'): 3, np.str_('Italian'): 4, np.str_('Mediterranean'): 5, np.str_('Bar/Small Plates'): 6, np.str_('Chinese/Noodles'): 7, np.str_('Vietnamese'): 8, np.str_('Korean-American'): 9, np.str_('Indian'): 10, np.str_('Thai'): 11, np.str_('Pakistani/Indian'): 12, np.str_('Deli/Market'): 13, np.str_('Pizza/Brewpub'): 14, np.str_('Seafood'): 15, np.str_('Creperie'): 16, np.str_('Spanish'): 17, np.str_('Chinese/Dim Sum'): 18, np.str_('Dessert/Chinese'): 19, np.str_('Bakery'): 20, np.str_('Deli'): 21, np.str_('Brewpub'): 22, np.str_('Dessert/Gelato'): 23, np.str_('Burgers/American'): 24, np.str_('Latin American'): 25, np.str_('Japanese/Izakaya'): 26, np.str_('Mexican'): 27, np.str_('Cafe'): 28, np.str_('Breakfast/Brunch'): 29, np.str_('Dessert/Chocolate'): 30, np.str_('Diner/Breakfast'): 31, np.str_('Cajun/Creole'): 32, np.str_('Bakery/Cafe'): 33, np.str_('Multi-Concept'): 34, np.str_('Burgers/Chicken'): 35, np.str_('Japanese'): 36, np.str_('Burgers/Bar'): 37, np.str_('Indian/Bar'): 38, np.str_('Sandwiches'): 39, np.str_('Californian'): 40, np.str_('Dessert'): 41, np.str_('Dessert/Matcha'): 42, np.str_('Bagels'): 43, np.str_('Vegan'): 44, np.str_('Juice/Smoothies'): 45, np.str_('Tea/Boba'): 46, np.str_('Tibetan'): 47, np.str_('Pizza'): 48, np.str_('Gastropub'): 49}","[25, 76, 17, 31, 78]","['84 Viet Berkeley', 'Sweet Adeline Bakeshop', ""Angeline's Louisiana Kitchen"", 'Asha Tea House', 'Lavender Bakery & Cafe']",25,84 Viet Berkeley
1,1,6.379793773932166,8.518394768628024,2,Budget Shopper,Highly price sensitive; dislikes expensive restaurants.,1,"{np.str_('Sandwiches'): 1, np.str_('Bar/Small Plates'): 2, np.str_('Mexican'): 3, np.str_('Dessert/Matcha'): 4, np.str_('Deli/Market'): 5, np.str_('Juice/Smoothies'): 6, np.str_('Thai'): 7, np.str_('Creperie'): 8, np.str_('Korean-American'): 9, np.str_('Japanese/Izakaya'): 10, np.str_('Italian'): 11, np.str_('Chinese'): 12, np.str_('Diner/Breakfast'): 13, np.str_('Chinese/Dim Sum'): 14, np.str_('Dessert/Chinese'): 15, np.str_('Indian/Bar'): 16, np.str_('Mediterranean'): 17, np.str_('Seafood'): 18, np.str_('Bakery/Cafe'): 19, np.str_('Bakery'): 20, np.str_('Tibetan'): 21, np.str_('Gastropub'): 22, np.str_('Persian'): 23, np.str_('Vegan'): 24, np.str_('Deli'): 25, np.str_('Vietnamese'): 26, np.str_('Latin American'): 27, np.str_('Chinese/Noodles'): 28, np.str_('Tea/Boba'): 29, np.str_('Indian'): 30, np.str_('Pakistani/Indian'): 31, np.str_('Dessert/Chocolate'): 32, np.str_('Dessert/Gelato'): 33, np.str_('Cafe'): 34, np.str_('Bagels'): 35, np.str_('Burgers/Chicken'): 36, np.str_('Dessert'): 37, np.str_('Pizza'): 38, np.str_('Burgers/American'): 39, np.str_('Spanish'): 40, np.str_('Brewpub'): 41, np.str_('Burgers/Bar'): 42, np.str_('Multi-Concept'): 43, np.str_('Breakfast/Brunch'): 44, np.str_('Californian'): 45, np.str_('Cajun/Creole'): 46, np.str_('Japanese'): 47, np.str_('Sandwiches/Salads'): 48, np.str_('Pizza/Brewpub'): 49}","[22, 73, 7, 50, 9]","[""Julia's Restaurant"", 'Boichik Bagels', 'Iyasare', 'Crave Subs', 'Skates On The Bay']",50,Crave Subs
2,2,7.696369667914125,6.040179965751782,5,Quality-Driven Healthy Eater,Values high-quality and well-rated restaurants.,3,"{np.str_('Brewpub'): 1, np.str_('Spanish'): 2, np.str_('Creperie'): 3, np.str_('Cajun/Creole'): 4, np.str_('Dessert/Chocolate'): 5, np.str_('Breakfast/Brunch'): 6, np.str_('Multi-Concept'): 7, np.str_('Pizza'): 8, np.str_('Sandwiches'): 9, np.str_('Bar/Small Plates'): 10, np.str_('Deli/Market'): 11, np.str_('Pizza/Brewpub'): 12, np.str_('Gastropub'): 13, np.str_('Sandwiches/Salads'): 14, np.str_('Mexican'): 15, np.str_('Japanese/Izakaya'): 16, np.str_('Vietnamese'): 17, np.str_('Indian/Bar'): 18, np.str_('Thai'): 19, np.str_('Tibetan'): 20, np.str_('Chinese/Noodles'): 21, np.str_('Dessert/Chinese'): 22, np.str_('Indian'): 23, np.str_('Bakery/Cafe'): 24, np.str_('Persian'): 25, np.str_('Italian'): 26, np.str_('Dessert'): 27, np.str_('Burgers/American'): 28, np.str_('Chinese'): 29, np.str_('Deli'): 30, np.str_('Bakery'): 31, np.str_('Californian'): 32, np.str_('Seafood'): 33, np.str_('Diner/Breakfast'): 34, np.str_('Tea/Boba'): 35, np.str_('Pakistani/Indian'): 36, np.str_('Latin American'): 37, np.str_('Mediterranean'): 38, np.str_('Vegan'): 39, np.str_('Burgers/Bar'): 40, np.str_('Japanese'): 41, np.str_('Korean-American'): 42, np.str_('Burgers/Chicken'): 43, np.str_('Dessert/Gelato'): 44, np.str_('Dessert/Matcha'): 45, np.str_('Cafe'): 46, np.str_('Bagels'): 47, np.str_('Chinese/Dim Sum'): 48, np.str_('Juice/Smoothies'): 49}","[45, 84, 3, 9, 72]","['Cancun Sabor Mexicano', 'Caffe Mediterraneum', 'Great China', 'Skates On The Bay', 'El Burro Picante']",9,Skates On The Bay
3,3,6.8927438246161445,0.6588713931523282,6,Balanced Generalist,Moderate preferences across all features.,2,"{np.str_('Dessert/Gelato'): 1, np.str_('Brewpub'): 2, np.str_('Japanese/Izakaya'): 3, np.str_('Pakistani/Indian'): 4, np.str_('Vegan'): 5, np.str_('Persian'): 6, np.str_('Multi-Concept'): 7, np.str_('Pizza'): 8, np.str_('Mexican'): 9, np.str_('Dessert/Matcha'): 10, np.str_('Chinese/Dim Sum'): 11, np.str_('Latin American'): 12, np.str_('Vietnamese'): 13, np.str_('Pizza/Brewpub'): 14, np.str_('Creperie'): 15, np.str_('Seafood'): 16, np.str_('Deli'): 17, np.str_('Deli/Market'): 18, np.str_('Diner/Breakfast'): 19, np.str_('Sandwiches/Salads'): 20, np.str_('Burgers/American'): 21, np.str_('Chinese'): 22, np.str_('Dessert/Chinese'): 23, np.str_('Bakery/Cafe'): 24, np.str_('Mediterranean'): 25, np.str_('Spanish'): 26, np.str_('Italian'): 27, np.str_('Indian/Bar'): 28, np.str_('Japanese'): 29, np.str_('Burgers/Chicken'): 30, np.str_('Thai'): 31, np.str_('Bakery'): 32, np.str_('Juice/Smoothies'): 33, np.str_('Breakfast/Brunch'): 34, np.str_('Bagels'): 35, np.str_('Gastropub'): 36, np.str_('Sandwiches'): 37, np.str_('Californian'): 38, np.str_('Dessert/Chocolate'): 39, np.str_('Tibetan'): 40, np.str_('Chinese/Noodles'): 41, np.str_('Cafe'): 42, np.str_('Korean-American'): 43, np.str_('Bar/Small Plates'): 44, np.str_('Tea/Boba'): 45, np.str_('Burgers/Bar'): 46, np.str_('Dessert'): 47, np.str_('Cajun/Creole'): 48, np.str_('Indian'): 49}","[89, 11, 66, 91, 52]","['Plentea', 'Funky Elephant', ""Ike's Love & Sandwiches"", 'Purple Kow', 'Daryoush']",52,Daryoush
4,4,4.698899080414396,3.837221747194545,9,Convenience Seeker,Wants options that balance rating with quick delivery.,2,"{np.str_('Latin American'): 1, np.str_('Deli'): 2, np.str_('Burgers/American'): 3, np.str_('Chinese/Dim Sum'): 4, np.str_('Bakery/Cafe'): 5, np.str_('Bar/Small Plates'): 6, np.str_('Pakistani/Indian'): 7, np.str_('Juice/Smoothies'): 8, np.str_('Korean-American'): 9, np.str_('Dessert/Matcha'): 10, np.str_('Persian'): 11, np.str_('Cajun/Creole'): 12, np.str_('Sandwiches/Salads'): 13, np.str_('Bagels'): 14, np.str_('Vegan'): 15, np.str_('Indian/Bar'): 16, np.str_('Burgers/Chicken'): 17, np.str_('Dessert/Chocolate'): 18, np.str_('Cafe'): 19, np.str_('Brewpub'): 20, np.str_('Mediterranean'): 21, np.str_('Thai'): 22, np.str_('Burgers/Bar'): 23, np.str_('Pizza'): 24, np.str_('Tibetan'): 25, np.str_('Gastropub'): 26, np.str_('Chinese/Noodles'): 27, np.str_('Spanish'): 28, np.str_('Tea/Boba'): 29, np.str_('Deli/Market'): 30, np.str_('Vietnamese'): 31, np.str_('Japanese/Izakaya'): 32, np.str_('Sandwiches'): 33, np.str_('Breakfast/Brunch'): 34, np.str_('Mexican'): 35, np.str_('Bakery'): 36, np.str_('Chinese'): 37, np.str_('Pizza/Brewpub'): 38, np.str_('Japanese'): 39, np.str_('Seafood'): 40, np.str_('Dessert/Chinese'): 41, np.str_('Creperie'): 42, np.str_('Dessert/Gelato'): 43, np.str_('Dessert'): 44, np.str_('Indian'): 45, np.str_('Italian'): 46, np.str_('Multi-Concept'): 47, np.str_('Diner/Breakfast'): 48, np.str_('Californian'): 49}","[13, 59, 42, 28, 23]","[""The Butcher's Son"", 'Eureka!', 'Cafe Rio', 'Amausaan Uji Matcha', ""Henry's""]",59,Eureka!
5,5,3.188772842061814,1.7633085376804003,5,Quality-Driven Healthy Eater,Values high-quality and well-rated restaurants.,2,"{np.str_('Chinese/Dim Sum'): 1, np.str_('Pizza/Brewpub'): 2, np.str_('Thai'): 3, np.str_('Dessert/Chocolate'): 4, np.str_('Seafood'): 5, np.str_('Mediterranean'): 6, np.str_('Vietnamese'): 7, np.str_('Burgers/Chicken'): 8, np.str_('Persian'): 9, np.str_('Sandwiches/Salads'): 10, np.str_('Chinese/Noodles'): 11, np.str_('Californian'): 12, np.str_('Breakfast/Brunch'): 13, np.str_('Deli'): 14, np.str_('Deli/Market'): 15, np.str_('Korean-American'): 16, np.str_('Juice/Smoothies'): 17, np.str_('Brewpub'): 18, np.str_('Bagels'): 19, np.str_('Mexican'): 20, np.str_('Pakistani/Indian'): 21, np.str_('Indian/Bar'): 22, np.str_('Dessert/Chinese'): 23, np.str_('Pizza'): 24, np.str_('Tibetan'): 25, np.str_('Sandwiches'): 26, np.str_('Burgers/Bar'): 27, np.str_('Dessert/Matcha'): 28, np.str_('Diner/Breakfast'): 29, np.str_('Spanish'): 30, np.str_('Vegan'): 31, np.str_('Latin American'): 32, np.str_('Bar/Small Plates'): 33, np.str_('Cajun/Creole'): 34, np.str_('Tea/Boba'): 35, np.str_('Dessert/Gelato'): 36, np.str_('Bakery/Cafe'): 37, np.str_('Japanese/Izakaya'): 38, np.str_('Creperie'): 39, np.str_('Cafe'): 40, np.str_('Italian'): 41, np.str_('Burgers/American'): 42, np.str_('Bakery'): 43, np.str_('Chinese'): 44, np.str_('Indian'): 45, np.str_('Dessert'): 46, np.str_('Japanese'): 47, np.str_('Gastropub'): 48, np.str_('Multi-Concept'): 49}","[5, 92, 41, 15, 62]","['La Marcha Tapas Bar', 'Sweetheart Cafe', 'Cafe Etoile', 'Middle East Market', 'Gold Bean Cafe']",5,La Marcha Tapas Bar
6,6,7.428780757183508,4.900425201695773,10,Rating + Speed Hybrid,Strongly cares about both high ratings and quick delivery.,2,"{np.str_('Bagels'): 1, np.str_('Japanese/Izakaya'): 2, np.str_('Tibetan'): 3, np.str_('Chinese'): 4, np.str_('Multi-Concept'): 5, np.str_('Deli'): 6, np.str_('Burgers/Chicken'): 7, np.str_('Pizza/Brewpub'): 8, np.str_('Bar/Small Plates'): 9, np.str_('Indian'): 10, np.str_('Spanish'): 11, np.str_('Californian'): 12, np.str_('Gastropub'): 13, np.str_('Dessert'): 14, np.str_('Cafe'): 15, np.str_('Mediterranean'): 16, np.str_('Tea/Boba'): 17, np.str_('Brewpub'): 18, np.str_('Bakery/Cafe'): 19, np.str_('Vegan'): 20, np.str_('Sandwiches/Salads'): 21, np.str_('Mexican'): 22, np.str_('Chinese/Dim Sum'): 23, np.str_('Dessert/Chinese'): 24, np.str_('Bakery'): 25, np.str_('Cajun/Creole'): 26, np.str_('Dessert/Gelato'): 27, np.str_('Dessert/Matcha'): 28, np.str_('Pizza'): 29, np.str_('Diner/Breakfast'): 30, np.str_('Thai'): 31, np.str_('Vietnamese'): 32, np.str_('Italian'): 33, np.str_('Persian'): 34, np.str_('Breakfast/Brunch'): 35, np.str_('Burgers/American'): 36, np.str_('Latin American'): 37, np.str_('Seafood'): 38, np.str_('Burgers/Bar'): 39, np.str_('Deli/Market'): 40, np.str_('Indian/Bar'): 41, np.str_('Creperie'): 42, np.str_('Pakistani/Indian'): 43, np.str_('Sandwiches'): 44, np.str_('Dessert/Chocolate'): 45, np.str_('Chinese/Noodles'): 46, np.str_('Japanese'): 47, np.str_('Korean-American'): 48, np.str_('Juice/Smoothies'): 49}","[85, 78, 96, 65, 29]","['RareTea', 'Lavender Bakery & Cafe', 'The Hidden Cafe', 'Hui Lau Shan', ""Anja's""]",78,Lavender Bakery & Cafe
7,7,9.791532397514885,0.7344469100576145,3,Rating Snob,Cares mostly about high ratings; price and speed are secondary.,2,"{np.str_('Pakistani/Indian'): 1, np.str_('Latin American'): 2, np.str_('Bakery'): 3, np.str_('Chinese/Noodles'): 4, np.str_('Korean-American'): 5, np.str_('Multi-Concept'): 6, np.str_('Persian'): 7, np.str_('Italian'): 8, np.str_('Indian/Bar'): 9, np.str_('Breakfast/Brunch'): 10, np.str_('Mediterranean'): 11, np.str_('Thai'): 12, np.str_('Dessert/Gelato'): 13, np.str_('Cafe'): 14, np.str_('Chinese'): 15, np.str_('Vegan'): 16, np.str_('Deli'): 17, np.str_('Bakery/Cafe'): 18, np.str_('Cajun/Creole'): 19, np.str_('Spanish'): 20, np.str_('Dessert/Matcha'): 21, np.str_('Burgers/American'): 22, np.str_('Sandwiches/Salads'): 23, np.str_('Diner/Breakfast'): 24, np.str_('Tea/Boba'): 25, np.str_('Bar/Small Plates'): 26, np.str_('Sandwiches'): 27, np.str_('Dessert/Chinese'): 28, np.str_('Bagels'): 29, np.str_('Indian'): 30, np.str_('Chinese/Dim Sum'): 31, np.str_('Juice/Smoothies'): 32, np.str_('Dessert'): 33, np.str_('Japanese'): 34, np.str_('Deli/Market'): 35, np.str_('Vietnamese'): 36, np.str_('Creperie'): 37, np.str_('Gastropub'): 38, np.str_('Mexican'): 39, np.str_('Pizza/Brewpub'): 40, np.str_('Pizza'): 41, np.str_('Burgers/Chicken'): 42, np.str_('Seafood'): 43, np.str_('Dessert/Chocolate'): 44, np.str_('Japanese/Izakaya'): 45, np.str_('Tibetan'): 46, np.str_('Burgers/Bar'): 47, np.str_('Brewpub'): 48, np.str_('Californian'): 49}","[95, 59, 7, 40, 41]","['Roast & Toast Cafe', 'Eureka!', 'Iyasare', 'Bubble Tea Sharetime', 'Cafe Etoile']",59,Eureka!
8,8,9.173619850652766,4.637317359313208,7,Curious Food Explorer,Likes variety and experimentation; price-insensitive.,2,"{np.str_('Mexican'): 1, np.str_('Californian'): 2, np.str_('Italian'): 3, np.str_('Creperie'): 4, np.str_('Juice/Smoothies'): 5, np.str_('Spanish'): 6, np.str_('Deli/Market'): 7, np.str_('Indian'): 8, np.str_('Deli'): 9, np.str_('Latin American'): 10, np.str_('Burgers/American'): 11, np.str_('Gastropub'): 12, np.str_('Diner/Breakfast'): 13, np.str_('Cajun/Creole'): 14, np.str_('Sandwiches'): 15, np.str_('Bakery'): 16, np.str_('Sandwiches/Salads'): 17, np.str_('Bakery/Cafe'): 18, np.str_('Indian/Bar'): 19, np.str_('Thai'): 20, np.str_('Pizza/Brewpub'): 21, np.str_('Persian'): 22, np.str_('Burgers/Bar'): 23, np.str_('Brewpub'): 24, np.str_('Bar/Small Plates'): 25, np.str_('Multi-Concept'): 26, np.str_('Breakfast/Brunch'): 27, np.str_('Vegan'): 28, np.str_('Dessert/Chinese'): 29, np.str_('Chinese/Noodles'): 30, np.str_('Japanese/Izakaya'): 31, np.str_('Vietnamese'): 32, np.str_('Dessert/Gelato'): 33, np.str_('Mediterranean'): 34, np.str_('Pizza'): 35, np.str_('Pakistani/Indian'): 36, np.str_('Tibetan'): 37, np.str_('Dessert/Chocolate'): 38, np.str_('Japanese'): 39, np.str_('Seafood'): 40, np.str_('Cafe'): 41, np.str_('Dessert'): 42, np.str_('Tea/Boba'): 43, np.str_('Burgers/Chicken'): 44, np.str_('Chinese'): 45, np.str_('Chinese/Dim Sum'): 46, np.str_('Bagels'): 47, np.str_('Dessert/Matcha'): 48, np.str_('Korean-American'): 49}","[1, 16, 58, 41, 93]","['Chez Panisse', 'Sliver Pizzeria', 'Endless Summer Sweets', 'Cafe Etoile', 'Chicha San Chen']",1,Chez Panisse
9,9,0.00554184585253914,6.0831940140006715,6,Balanced Generalist,Moderate preferences across all features.,3,"{np.str_('Vegan'): 1, np.str_('Bar/Small Plates'): 2, np.str_('Tibetan'): 3, np.str_('Sandwiches/Salads'): 4, np.str_('Vietnamese'): 5, np.str_('Diner/Breakfast'): 6, np.str_('Seafood'): 7, np.str_('Dessert/Chocolate'): 8, np.str_('Korean-American'): 9, np.str_('Multi-Concept'): 10, np.str_('Thai'): 11, np.str_('Burgers/American'): 12, np.str_('Bakery'): 13, np.str_('Breakfast/Brunch'): 14, np.str_('Chinese/Dim Sum'): 15, np.str_('Dessert'): 16, np.str_('Dessert/Matcha'): 17, np.str_('Japanese'): 18, np.str_('Latin American'): 19, np.str_('Mediterranean'): 20, np.str_('Gastropub'): 21, np.str_('Juice/Smoothies'): 22, np.str_('Tea/Boba'): 23, np.str_('Mexican'): 24, np.str_('Deli'): 25, np.str_('Burgers/Chicken'): 26, np.str_('Californian'): 27, np.str_('Bagels'): 28, np.str_('Cafe'): 29, np.str_('Dessert/Gelato'): 30, np.str_('Chinese/Noodles'): 31, np.str_('Chinese'): 32, np.str_('Dessert/Chinese'): 33, np.str_('Brewpub'): 34, np.str_('Bakery/Cafe'): 35, np.str_('Italian'): 36, np.str_('Persian'): 37, np.str_('Indian/Bar'): 38, np.str_('Cajun/Creole'): 39, np.str_('Burgers/Bar'): 40, np.str_('Japanese/Izakaya'): 41, np.str_('Sandwiches'): 42, np.str_('Spanish'): 43, np.str_('Pizza/Brewpub'): 44, np.str_('Indian'): 45, np.str_('Deli/Market'): 46, np.str_('Pizza'): 47, np.str_('Pakistani/Indian'): 48, np.str_('Creperie'): 49}","[92, 81, 90, 42, 35]","['Sweetheart Cafe', 'Cafe Strada', 'Presotea', 'Cafe Rio', 'Bench Cafe Patisserie']",35,Bench Cafe Patisserie
